"point","colour","outcome","title_bg","title_en","bg","en"
"moon","mercury","met","Да си кажеш и да олекне","Saying it and feeling lighter","Този човек ти помага да превърнеш неясното чувство в думи. Слуша, пита и остава в разговора, вместо веднага да поправя или омаловажава преживяването ти. След такъв обмен емоциите ти по-лесно намират място и се успокояват.","Your worry fades once you have said it aloud to somebody who is actually listening. This person asks at the right moment and is in no hurry to advise. After talking to them things are smaller than they were."
"moon","venus","met","Уют, който не се налага да искаш","Comfort you never have to ask for","Този човек внася мекота в ежедневието по естествен начин. Нежността, физическият комфорт и малките жестове ти показват, че близостта не трябва да бъде заслужавана. До него е по-лесно да се отпуснеш и да почувстваш, че си приет.","You need daily life to be soft rather than perfect. This person manages it without trying, bringing the good thing without announcing it and making the ordinary day bearable. You never have to ask for tenderness."
"moon","mars","met","Някой, който застава отпред","Someone who stands in front","Този човек не остава безучастен, когато ти е трудно. Той реагира, застава до теб и може да поеме действие в момент, когато ти самият си претоварен. Това не отнема чувствата ти — дава им защитено място, в което да ги изживееш.","You feel safe when somebody will react on your behalf. This person does not wait; they step in, say it, take the hit. That is why you let yourself be soft around them."
"moon","jupiter","met","Простор, в който да дишаш","Room enough to breathe","Този човек не прави любовта тясна и условна. Дава време, търпение и щедрост и не превръща всяка нужда в сметка. Така емоционалната ти природа получава простор и не се налага да живее в постоянно очакване кога ще бъде „твърде много“.","Cramped, calculating arrangements suffocate you. This person gives broadly, with time, money and patience, and keeps no ledger. Worry finds nothing to catch on in a home like that."
"moon","saturn","met","Да знаеш какво следва","Knowing what comes next","Този човек носи предвидимост там, където емоциите ти имат нужда от опора. Може да не е най-шумно демонстративният човек, но е последователен и остава, когато стане трудно. Тази устойчивост ти позволява да се отпуснеш, защото знаеш какво можеш да очакваш.","You are calm when tomorrow is predictable. This person keeps the rhythm, comes home when they said they would and does not change plans at the last minute. What looks dull here is comfort, not absence."
"moon","uranus","met","Дом, който не те заключва","A home that does not lock you in","Този човек ти дава свобода да имаш собствен ритъм и не изисква постоянна емоционална форма. Не те задушава с очаквания и допуска промяната в настроението ти. Парадоксално именно това пространство може да ти помогне да се чувстваш по-сигурен.","You cannot bear a daily life that closes around you. This person keeps it open, changes habits, leaves on impulse and never turns closeness into a cage. You stay settled without being tied."
"moon","neptune","met","Да те разберат без обяснение","Understood without explaining","Този човек улавя нюансите в теб, които трудно се обясняват с думи. Има чувствителност към настроението и невидимото между редовете, което може да те накара да се почувстваш разбран без дълги обяснения. При него емоцията има право просто да съществува.","There are states you cannot explain and still need accepted. This person senses them in advance and asks for no logic. You do not have to translate yourself here."
"moon","pluto","met","Да те познават докрай","Known all the way down","Този човек не се плаши лесно от силни чувства. До него можеш да стигнеш до по-дълбоки пластове на страх, привързаност и уязвимост, без те веднага да бъдат замитани. Това създава усещане за емоционална близост, която не остава само на повърхността.","Half-certainty unsettles you more than the truth does. This person is not frightened by the dark in you and does not back off when it turns serious. Your security comes from their having seen all of it."
"mercury","sun","met","Мисъл, която има кой да чуе","A thought with somebody in it","Този човек има достатъчно ясно присъствие, за да ти даде реален партньор за мислене. Можеш да хвърлиш идея, въпрос или съмнение и да получиш човек отсреща, а не празно пространство. Неговата откритост прави разговора жив.","You think better when somebody will hear you out without correcting. This person is genuinely present in a conversation and hands you back some confidence. Your ideas get braver because they are not afraid of being laughed at."
"mercury","moon","met","Разговор, който пази","Talk that looks after you","Този човек усеща не само какво казваш, но и защо го казваш. Емоционалният му отклик ти помага да не останеш само в главата си и прави разговора човешки. При него мисълта ти може да се движи свободно, защото среща разбиране, а не само анализ.","Your words carry more than shows, and they need a careful listener. This person hears the mood underneath the sentence as well. So you speak freely instead of weighing every word."
"mercury","venus","met","Приятно е да се говори","An easy thing to talk to","Този човек прави общуването приятно, а не просто функционално. Има такт, чувство за нюанс и желание да чуе какво мислиш, без разговорът да се превръща в състезание кой е прав. Така думите ти стават част от близостта, а не само средство за решаване на проблеми.","Conversation is a pleasure to you, not a contest. This person keeps it light, never argues for the sake of arguing, and knows how to agree. Talking here is a rest rather than a job."
"mercury","mars","met","Право в целта","Straight at it","Този човек те кара да мислиш по-остро, защото реагира бързо и не оставя идеите ти да увиснат. Може да спори, да предизвиква и да натиска точно там, където мисълта ти има нужда от движение. Между вас разговорът има енергия.","Your mind wakes to a direct clash rather than to politeness. This person says things without detours and takes no offence when you answer back. A sharp exchange here is sport, not injury."
"mercury","jupiter","met","Разговори, които стигат далеч","Talk that goes somewhere","Този човек разширява разговора, вместо да го затваря в дреболии. Той ти дава контекст, нови гледни точки и смелост да мислиш по-мащабно. Така любопитството ти получава пространство, в което да расте.","Small topics tire you more than hard ones do. This person thinks large, pulling the conversation towards meaning, a plan, a journey. You come back from it with more than you brought."
"mercury","saturn","met","Мисъл, която издържа","A thought that holds","Този човек внася структура в мисленето ти. С него можеш да подредиш сложна идея, да довършиш разговор и да отделиш важното от шумa. Той не просто те слуша — помага ти мисълта да стане по-ясна и приложима.","You want your words to mean something and to be checkable. This person makes no idle promises and thinks before speaking. Talk here is slow, and none of it falls apart afterwards."
"mercury","uranus","met","Някой, който обръща темата","Somebody who turns the subject over","Този човек внася неочакваното, което поддържа ума ти буден. Разговорите могат да прескачат между идеи, да разрушават очевидното и да отварят нови посоки. Не ти дава готови отговори — дава ти стимул да мислиш различно.","Predictable talk bores you even when it is right. This person brings in the sudden, says the opposite, shifts the angle, produces something you did not expect. Your thinking speeds up in that company."
"mercury","neptune","met","Да говориш без да се доизказваш","Talking in half-said things","Този човек ти помага да говориш и за онова, което не се побира лесно във факти. Интуицията, образите и нюансите имат място в разговора ви. Така мисленето ти получава достъп и до символичната и емоционалната страна на преживяването.","Not everything you have to say fits into clear sentences. This person follows you by half a word and by images. Silence is part of the conversation here."
"mercury","pluto","met","Разговор до дъното на нещата","Talk that goes to the bottom","Този човек не се задоволява с първия отговор. В разговорите ви има способност да се стига до мотива, страха или истината под думите. Това може да бъде интензивно, но удовлетворява нуждата ти разговорът да има дълбочина, а не само информация.","Polite surfaces irritate you because you can feel what sits underneath. This person does not stop at what is decent and asks the real question. Your conversations are heavy, and nothing is left unsaid after them."
"venus","sun","met","Да те показват","Being shown","Този човек показва себе си по начин, който ти е приятно да обичаш и желаеш. Неговото ясно присъствие ти позволява да се наслаждаваш на човека, а не постоянно да гадаеш какво чувства. Привличането има лице, топлина и естественост.","You want affection to be visible rather than kept for private. This person does not hide what they feel and will say it in front of others. Flattery is not what you need; it is enough that they are not embarrassed by you."
"venus","moon","met","Обич в дребните неща","Love in the small things","Този човек създава емоционална атмосфера, в която нежността ти може да се прояви без страх. Топлината, грижата и усещането за уют правят близостта нещо преживяно, а не само казано. С него любовта има ежедневна форма.","Grand gestures say less to you than everyday care does. This person remembers what you like and does it without mentioning it. That is exactly what makes you feel chosen."
"venus","mercury","met","Да ти е интересно с него","Good company as well","Този човек знае как да превърне мисълта в приятен контакт. Думите му могат да флиртуват, да успокояват и да създават настроение, а не само да предават информация. За теб това прави общуването част от удоволствието да бъдете заедно.","Beautiful without conversation goes stale on you quickly. This person keeps you awake, jokes, asks, has something to say. What holds you together is curiosity as well as feeling."
"venus","mars","met","Желание, което си личи","Wanting that shows","Този човек внася желание и телесна енергия в отношенията. Между вас има импулс да се доближите, да докоснете, да направите нещо заедно, вместо всичко да остане само като симпатия. Привличането има движение.","Tenderness without wanting leaves you cold. This person wants you openly and does not pretend to be indifferent. That appetite is what keeps closeness alive."
"venus","jupiter","met","Щедрост без сметка","Generous without counting","Този човек увеличава удоволствието от живота ти, вместо да го свива в правила и сметки. Щедростта, доброто настроение и готовността да се наслаждавате заедно правят близостта по-лека. С него любовта има усещане за изобилие.","Meanness in a relationship kills you faster than a fight does. This person gives broadly and enjoys spoiling you. Here the good thing is not saved for later."
"venus","saturn","met","Обич, на която можеш да разчиташ","Affection you can count on","Този човек дава форма и устойчивост на чувствата. Не оставя привличането да зависи само от моментното настроение, а показва отношение чрез постоянство и грижа. Това ти позволява да се наслаждаваш на близост, която има бъдеще.","Light and non-committal does not warm you. This person stays, tomorrow, when it is dull and when it is hard. Their constancy is a form of tenderness to you."
"venus","uranus","met","Близост без примка","Closeness with no noose","Този човек не позволява близостта да стане скучна или механична. Носи различност, изненада и свобода, които поддържат желанието живо. При него можеш да обичаш, без да усещаш, че трябва да се откажеш от индивидуалността си.","You love strongly and cannot bear being owned. This person keeps the bond open, is not jealous over nothing, and asks for no account of your time. The freedom between you is part of the attraction."
"venus","neptune","met","Парченце мечта","Room for the dream","Този човек създава пространство за романтика, въображение и идеализиране. До него любовта може да се преживява като нещо по-фино от ежедневната логика — чрез атмосфера, музика, погледи и усещане за сливане. Това подхранва нуждата ти от красота и магия в близостта.","Practical attachment is not enough for you; you want to be carried as well. This person brings softness, beauty and a little unreality. Here love has some poetry in it and not only a timetable."
"venus","pluto","met","Или всичко или нищо","All of it or none","Този човек не оставя чувствата ти на повърхността. Привличането може да стане силно, обсебващо и трансформиращо, защото връзката докосва дълбоки желания и страхове. За теб това е усещането, че любовта действително има залог.","Moderate affection sounds like refusal to you. This person comes in whole and does not divide their attention. The jealousy that shows up now and then reads to you as proof rather than a problem."
