"point","colour","outcome","title_bg","title_en","bg","en"
"moon","venus","miss","Ежедневието е грубичко","The everyday stays rough","Имаш нужда от нежност и уют, които да се появяват естествено в ежедневието, но тук близостта не се поднася толкова меко. Може да има грижа, но да липсват малките жестове, телесната топлина или приятното усещане „тук ми е добре“. Ще трябва съзнателно да създаваш тази мекота, вместо да чакаш тя да се появи сама.","You need the ordinary day to be soft, and here it is practical and nothing more. The good part you will have to make yourself, and it will feel as though nobody notices the effort. Tenderness here is not assumed and has to be asked for."
"moon","mars","miss","Никой не застава отпред","Nobody stands in front","Имаш нужда някой да реагира и да застане до теб, когато си уязвим, но този човек не носи естествено тази защитна активност. В трудни моменти може да се окажеш самият ти човекът, който трябва да действа, докато вътрешно ти се иска да бъдеш поет. Тук е важно да развиваш способност да се защитаваш, без да се отказваш от правото си и на подкрепа.","You feel safe when somebody reacts on your behalf, and here you will be doing the reacting. You will hold yourself harder than you want to and tire of it. If you need defending, say so — here it is not assumed."
"moon","jupiter","miss","Всичко се брои","Everything is counted","Имаш нужда от емоционален простор — търпение, щедрост и усещане, че нуждите ти не са прекалено много — но този човек може да прави отношенията по-тесни или по-пресметливи. Това лесно те кара да започнеш да се самоцензурираш. Ще трябва да пазиш право на собствените си чувства и да не свиваш потребностите си, само за да няма напрежение.","You suffocate where a ledger is kept, and here one is kept. You will feel the narrowness even when nothing is actually missing. Agree in advance on what will not be counted, so that at least one thing stays free."
"moon","saturn","miss","Утрото е неясно","Tomorrow is not known","Имаш нужда от предвидимост и човек, който остава стабилен, когато емоциите се усложнят, но този партньор не дава естествено такава устойчивост. Това може да те постави в ролята на този, който държи емоционалната конструкция. Тук собствените ти ритуали, граници и опори стават особено важни, защото не можеш да чакаш сигурността да бъде внесена отвън.","You are calm when the next day is predictable, and here plans move. You will brace yourself over things the other one considers minor. Ask for firm arrangements about the few that actually matter to you."
"moon","uranus","miss","Ежедневието се завърта","The daily round closes in","Имаш нужда от емоционална свобода и право да имаш собствен ритъм, но този човек може да реагира с повече нужда от предвидимост, контрол или постоянство. Така можеш едновременно да се чувстваш близо и ограничен. Ще трябва да пазиш свое пространство и да не очакваш партньорът сам да разбере кога имаш нужда от него и кога от свобода.","You cannot bear a life that tightens around you, and here the habits do not move. It will get cramped exactly where you were supposed to be resting. Arrange something of your own outside the shared routine."
"moon","neptune","miss","Трябва да обясняваш всичко","Everything has to be explained","Имаш нужда от чувствителност към нюансите и от човек, който разбира неизказаното, но тук тази фина настройка не идва естествено. Може да се наложи да обясняваш чувства, които ти се струват очевидни. Вместо да чакаш да бъдеш „усетен“, ще трябва да дадеш форма и думи на собственото си преживяване.","There are states you cannot break down into words, and here an explanation will be wanted. You will be translating yourself at exactly the moments you have no strength for it. Sometimes it is enough to say there is nothing to explain."
"moon","pluto","miss","Спират по средата","They stop halfway","Имаш нужда от емоционална дълбочина и от човек, който не се плаши от силни чувства, но този партньор може да държи отношенията по-повърхностни или да се отдръпва от тежките пластове. Така част от най-дълбокото ти преживяване остава твоя работа. Не го изливай насила във връзката — намери начин да го преработваш и извън нея.","Your security comes from somebody having seen all of it, and here they will stop short of the bottom. You will feel that a part of you stays unknown and wonder whether it would survive being shown. Do not test it with a crisis; say it instead."
"mercury","sun","miss","Говориш на празно","Talking into the room","Имаш нужда от ясен, присъстващ партньор за мислене, но този човек може да оставя разговора без достатъчно личен отговор. Така идеите ти могат да се въртят в собствената ти глава, без да срещнат истински човек отсреща. Тук ще ти помагат разговори и среди, в които има по-активен интелектуален обмен.","You think better when somebody is listening, and here the other one is elsewhere. Your ideas will get no echo and you will stop saying them. Write them down somewhere; it beats swallowing them."
"mercury","moon","miss","Слушат думите, не тона","The words are heard, not the tone","Имаш нужда разговорът да има човешка и емоционална обратна връзка, но този човек не я дава естествено. Може да получаваш факти, решения или мълчание, когато всъщност ти трябва разбиране. Ще трябва по-ясно да отделяш нуждата да бъдеш чут от нуждата някой да реши проблема.","You say more than shows, and here the literal part is what is heard. You will be understood accurately and wrongly at the same time. State how you feel separately from what you are reporting."
"mercury","venus","miss","Всеки разговор е сблъсък","Every exchange is a contest","Имаш нужда общуването да бъде приятно, тактично и свързващо, но този човек може да говори по-функционално или по-рязко. Това не означава, че няма какво да каже — просто самият стил не храни твоята потребност от лекота и удоволствие в разговора. Ще трябва съзнателно да създавате свой език на близост.","Conversation is a pleasure to you, and here it turns into a contest of wits. You will catch each other on words and tire over things that do not matter. End the exchange before it becomes an argument; here it will not clear on its own."
"mercury","mars","miss","Никой не говори прямо","Nobody says it straight","Имаш нужда от бърз, жив и предизвикващ обмен, но този човек може да не реагира достатъчно активно или да избягва спора. Така мислите ти остават без необходимото напрежение, което ги движи напред. Интелектуалното предизвикателство ще трябва да търсиш и извън връзката.","Your mind wakes to a straight clash, and here everything arrives by a detour. You will be guessing instead of being told, and the guesses will be wrong. Ask outright, and accept the blunt answer when it comes."
"mercury","jupiter","miss","Аман от дребнавости","Small subjects only","Имаш нужда разговорът да отваря хоризонти, но този човек може да държи вниманието в тесния кръг на непосредственото. Това може да остави любопитството ти гладно, дори когато ежедневната комуникация работи. Пази свои теми, книги, хора и пространства, които разширяват мисленето ти.","The small thing tires you more than the hard thing, and here talk stays small. You will know everything about the day and nothing about the direction. Open the large subject yourself; here nobody will open it for you."
"mercury","saturn","miss","Думите нямат тежест","Words that do not hold","Имаш нужда някой да помогне на мисълта ти да се подреди и довърши, но този човек може да не носи естествена структура в общуването. Тогава ти оставаш да държиш логиката, плановете и важните разговори. Не превръщай това автоматично в личен недостатък — просто тази функция няма да се случва сама между вас.","You want what is said to be checkable, and here things are said lightly. You will agree on things that are later remembered differently. Write the important part down; that is not distrust, it is a precaution."
"mercury","uranus","miss","Едно и също","The same thing again","Имаш нужда от свежи идеи и интелектуална свобода, но този човек може да предпочита познатото и предвидимото. С времето разговорите могат да започнат да ти се струват повторяеми, дори когато няма реален конфликт. Тук е полезно да поддържаш собствени източници на новост и интелектуално движение.","Predictable talk sends you to sleep, and here the subjects go round. You will be finishing the other one's sentences and stop listening. Bring the new thing in yourself rather than waiting for it to arrive."
"mercury","neptune","miss","Само буквалното се разбира","Only the literal gets through","Имаш нужда да можеш да говориш и за нюанси, усещания и символи, но този човек може да настоява разговорът да остане само в конкретното. Така част от начина ти на мислене остава без пространство. Ще трябва сам да пазиш връзката си с въображението, без да изискваш другият да мисли по същия начин.","Not everything you have to say fits into clear sentences, and here only the clear part gets through. What is half-said will go unread. You will need somebody with whom silence also counts as speech."
"mercury","pluto","miss","Спира се на преди да влезе в дълбочина","It stops at what is decent","Имаш нужда от разговор, който стига до същината, но този човек може да избягва тежките теми или да се задоволява с повърхностни отговори. Това оставя любопитството ти незадоволено именно там, където ти е най-интересно. Ще трябва да избираш внимателно кои дълбочини да споделяш и кои да обработваш сам.","Polite surfaces irritate you, and here the conversation never goes below one. You will sense what sits underneath and never hear it said. Ask the question you are both avoiding instead of waiting for it."
"venus","sun","miss","Обич зад затворена врата","Love behind a closed door","Имаш нужда да се възхищаваш на човека до себе си и да усещаш ясно неговото присъствие, но този партньор може да не ти дава достатъчно от това, което прави привличането живо за теб. Може да го харесваш, но да не усещаш достатъчно топлина или изразеност насреща. Част от романтичната храна ще трябва да създаваш съзнателно.","You want affection to be visible, and here it is kept for private. You will doubt things that are genuinely there simply because they were not said in front of anybody. Ask for it openly; here it will not occur to the other one."
"venus","moon","miss","Големи жестове, малко грижа","Big gestures, little care","Имаш нужда от уют, нежност и емоционална топлина, но този човек не ги излъчва естествено в ежедневието. Може да има чувства, без те да се усещат като меко място, в което да се отпуснеш. Тук е важно да не чакаш любовта да се доказва само чрез един конкретен стил на грижа.","Everyday care says more to you than the occasion does, and here the occasions are what arrive. You will get presents and miss somebody remembering the small things. Name the small things instead of waiting for them to be guessed."
"venus","mercury","miss","Красиво и мълчаливо","Beautiful and silent","Имаш нужда думите да носят чар, такт и удоволствие, но този човек може да общува твърде сухо, практично или директно за твоя вкус. Това постепенно може да извади удоволствието от самия контакт. Ще трябва да внесеш повече красота и игра в общуването, без да очакваш другият автоматично да ги носи.","Closeness for you also wants curiosity, and here the talk runs out quickly. It will be good and shortly afterwards it will be narrow. Find people to talk to elsewhere and do not treat that as a betrayal."
"venus","mars","miss","Нежност без желание","Tenderness without wanting","Имаш нужда от жив отговор на желанието си, но този човек не дава естествено достатъчно инициатива или страст. Привличането може да съществува, но да не получава достатъчно движение, за да остане живо. Тук е важно да различиш липсата на инициатива от липсата на чувства и да говориш конкретно за това какво събужда желанието ти.","Warmth without hunger leaves you cold, and here warmth is exactly what arrives. It will be pleasant and it will not be alive. Say what you want plainly; hints here do not get read."
"venus","jupiter","miss","Всичко се пести за после","Everything saved for later","Имаш нужда от щедрост и усещане, че любовта увеличава живота, а този човек може да внася повече ограничения, сметки или предпазливост. Това може да направи близостта по-тясна, отколкото ти е естествено. Пази собствената си способност да се радваш и да създаваш удоволствие, без то да зависи изцяло от партньора.","Meanness in a relationship drains you quickly, and here things are held back. You will feel that the good part is always postponed to a better moment. Spend on the two of you yourself, if that is the only way it happens."
"venus","saturn","miss","Нищо не се обещава","Nothing is promised","Имаш нужда чувствата да имат устойчивост и реална форма, но този човек може да не дава достатъчно постоянство или сигурност. Тогава привличането лесно започва да се съмнява в бъдещето си. Ще трябва да гледаш действията, а не обещанията, и да не се опитваш да изпросиш стабилност, която не идва естествено.","Light and non-committal does not warm you, and here arrangements stay open. You will wonder how long this lasts and be embarrassed to ask. Ask anyway — any answer is worth more than the waiting."
"venus","uranus","miss","Държат те под око","Kept under watch","Имаш нужда от свобода, свежест и различност в любовта, но този човек може да предпочита по-познат модел на близост. С времето може да усетиш, че желанието ти се свива, ако връзката стане прекалено предвидима. Ще трябва съзнателно да пазиш пространство за новост и индивидуалност.","You love strongly and cannot bear supervision, and here an account is kept. You will bristle at questions the other one thinks are harmless. Settle the boundaries once instead of fighting over them every time."
"venus","neptune","miss","Само практичното","Practical and no more","Имаш нужда от романтика, красота и усещане за нещо по-фино между двама души, но този човек може да бъде твърде конкретен или прагматичен за това. Връзката може да е реална, но да не храни въображението ти. Тук е важно да не идеализираш липсващото и да създаваш красотата, която ти самият искаш да живееш.","You want some dream in your affections, and here there is a timetable. It will be orderly and something will be missing that you struggle to name. It is called romance, and wanting it is not childish."
"venus","pluto","miss","Взаимоотношението не е в една посока","Attention divided","Имаш нужда любовта да има дълбочина и силен емоционален заряд, но този човек може да не влиза лесно в такава интензивност. Така привличането ти остава с усещане за неизживяна сила. Не е нужно да създаваш драмата, за да я почувстваш — по-здравият път е да признаеш какво наистина желаеш и да не го подменяш с напрежение.","Moderate attachment sounds like refusal to you, and here it is moderate. You will be counting where you come in the order and hating yourself for counting. Better to ask outright than to answer it for yourself."
