"planet","house","sign","bg","en"
"sun","3","cancer","Помните какво е било казано и в кой тон. Разговорът остава у вас с дни. Кажете, когато ви е заболяло.","You remember what was said and in what tone. A conversation stays with you for days. Say when it hurt."
"sun","3","leo","Разказвате така, че стаята слуша. Правите го без усилие и обичате да го правите. Само оставяйте и на другите ред.","You tell it so the room listens. You do it without effort and you like doing it. Just leave the others a turn."
"sun","3","virgo","Обяснявате точно и подробно, и хората разбират от първия път. Понякога подробността е повече от нужното. Спрете на третото изречение.","You explain exactly and in detail, and people get it first time. Sometimes the detail is more than needed. Stop at the third sentence."
"sun","3","libra","Говорите така, че никой да не се засегне, и понякога никой не разбира. Учтивостта размива смисъла. Кажете едното нещо направо.","You speak so nobody takes offence, and sometimes nobody understands. The politeness blurs the meaning. Say the one thing directly."
"sun","3","scorpio","Питате, докато не стигнете под повърхността. Учтивият отговор не ви върши работа. Кажете защо питате и се отваря по-лесно.","You ask until you get under the surface. A polite answer is no use to you. Say why you are asking and it opens more easily."
"sun","3","sagittarius","Говорите за голямото и подробностите ви убягват. Обещавате в разговор и после трябва да го изпълните. Записвайте какво сте обещал.","You talk about the large thing and the details escape you. You promise mid-conversation and then have to deliver. Write down what you promised."
"sun","3","capricorn","Казвате малко и всяка дума ви обвързва. Хората чакат отговора ви и го приемат сериозно. Кажете едно нещо повече от нужното.","You say little and every word binds you. People wait for your answer and take it seriously. Say one thing more than necessary."
"sun","3","aquarius","Мислите различно от стаята и го казвате направо. Понякога изпреварвате с години. Обяснявайте по-бавно.","You think differently from the room and say so outright. Sometimes you are years ahead. Explain more slowly."
"sun","3","pisces","Знаете какво иска да каже човекът, преди да го е казал, и отговаряте на това. Понякога сте се заблудил. Проверявайте с въпрос.","You know what somebody means before they say it, and you answer that. Sometimes you have it wrong. Check with a question."
"sun","4","aries","Вкъщи вие давате хода и всичко тръгва от вашето решение. Мълчанието ви е по-шумно от думите. Кажете какво искате, вместо да го наложите.","At home you set the move and everything starts from your decision. Your silence is louder than your words. Say what you want rather than imposing it."
"sun","4","taurus","Домът ви е за дълго и не го местите лесно. Мебелите, миризмите и редът значат нещо. Само пускайте хора вътре.","Your home is for the long term and you do not move it easily. The furniture, the smells and the order mean something. Just let people in."
"sun","4","gemini","Живели сте на повече от едно място и това ви е нормалното. Домът ви е там, където има разговор. Само оставете нещо да остане на едно място.","You have lived in more than one place and that is normal to you. Home is where the conversation is. Just let something stay put."
"sun","4","cancer","Домът е основата ви и всичко останало идва след него. Усещате къщата с тялото си. Пазете една стая тиха.","The home is your base and everything else comes after it. You feel the house in your body. Keep one room quiet."
"sun","4","leo","Домът ви е отворен и хубав, и вие се радвате, когато е пълен. Гостите ви подхранват. Оставяйте и вечер за никого.","Your home is open and handsome, and you are glad when it is full. Guests feed you. Leave an evening for nobody as well."
"sun","4","virgo","Оправяте къщата и никога не е готова докрай. Виждате всяко петно преди всички. Оставете едно нещо неоправено.","You put the house right and it is never quite finished. You see every mark before anybody. Leave one thing unfixed."
"sun","4","libra","Домът се решава заедно и вие държите на това. Спорът за подредба е спор за равенство. Разделете кой избира какво.","The home is decided together and you hold to that. An argument about arrangement is an argument about equality. Divide who chooses what."
"sun","4","scorpio","Домът ви е крепост и вие решавате кой минава прага. Знаете какво е скрито в стените на рода. Наречете го веднъж.","Your home is a fortress and you decide who crosses the threshold. You know what is hidden in the family's walls. Name it once."
"sun","4","sagittarius","Домът ви е широк или на две места, и тясното ви задушава. Идвате си отдалеч и пак тръгвате. Оставете си адрес.","Your home is wide, or in two places, and the narrow suffocates you. You come back from far away and set off again. Keep an address."
"sun","4","capricorn","Носили сте къщата рано и оттогава не сте спрял. Отговорността ви е стара. Поискайте помощ, преди да сте свършил.","You carried the house early and have not stopped since. Your responsibility is old. Ask for help before you are spent."
"sun","4","aquarius","Домът ви не изглежда като другите домове и това е нарочно. Правилата вътре са ваши. Само обяснете ги на живеещите.","Your home does not look like other homes, and that is deliberate. The rules inside are yours. Just explain them to whoever lives there."
"sun","4","pisces","Домът ви е убежище и там изчезвате за часове. Стените поемат настроението. Отваряйте вратата понякога.","Your home is a refuge and you disappear there for hours. The walls take on the mood. Open the door sometimes."
"sun","5","aries","Започвате нещо и то тръгва от нула за ден. Довършването е другата работа. Дайте едно нещо докрай.","You start something and it moves from nothing in a day. Finishing is the other job. Take one thing all the way."
"sun","5","taurus","Правите с ръце и то остава. Не бързате и не преправяте. Само покажете го, преди да е станало на десет години.","You make things by hand and they last. You do not hurry and you do not redo. Just show it before it turns ten years old."
"sun","5","gemini","Имате три започнати неща и всичките са интересни. Изборът ви е трудното. Изберете едно за месец.","You have three things started and all of them are interesting. Choosing is the hard part. Choose one for a month."
"sun","5","cancer","Създавате от настроение и децата ви усещат това. Радостта ви е домашна и тиха. Не я мерете с чуждата.","You create out of mood, and children feel it. Your gladness is domestic and quiet. Do not measure it against somebody else's."
"sun","5","leo","Правите го, за да го видят, и това не е суета, а гориво. Сцената ви подхожда. Само оставяйте и на другите място.","You do it to be seen, and that is fuel rather than vanity. The stage suits you. Just leave the others room as well."
"sun","5","virgo","Правите точно и до последния детайл, и затова се бавите. Никой друг не забелязва разликата. Пуснете го при девет от десет.","You work exactly and down to the last detail, which is why you are slow. Nobody else notices the difference. Release it at nine out of ten."
"sun","5","libra","Създавате най-добре с още един човек. Сам ви е тихо. Търсете партньор, не публика.","You create best with one other person. Alone is too quiet for you. Look for a partner rather than an audience."
"sun","5","scorpio","Правите нещо силно и не го показвате никому. Страстта ви е скрита и цяла. Покажете едно нещо.","You make something strong and show it to nobody. Your passion is hidden and whole. Show one thing."
"sun","5","sagittarius","Мислите го голямо и започвате от края. Обещавате повече, отколкото ще стигне времето. Свалете го наполовина и го направете.","You think it big and start from the end. You promise more than the time will hold. Halve it and do it."
"sun","5","capricorn","Създавате бавно и трайно, и след години още стои. Не търсите бърз резултат. Само не отлагайте началото.","You create slowly and lastingly, and years later it still stands. You do not look for a fast result. Just do not postpone the start."
"sun","5","aquarius","Правите нещо, което не е правено така. Обичайният начин ви е неинтересен. Само довеждайте го до край.","You make something that has not been made that way. The usual way does not interest you. Just carry it to the end."
"sun","5","pisces","Създавате от въображение и не знаете откъде идва. Работи, когато не мислите. Записвайте го веднага.","You create from imagination and do not know where it comes from. It works when you are not thinking. Write it down at once."
"sun","6","aries","Хващате се веднага и работите бързо. Чакането ви изморява повече от задачата. Спрете, преди да сте се пресилил.","You get straight on with it and work fast. Waiting tires you more than the task. Stop before you overdo it."
"sun","6","taurus","Работите с ръце и с темпо, което издържа цял ден. Не сменяте начина, щом работи. Само проверявайте дали още е най-добрият.","You work with your hands and at a pace that lasts all day. You do not change the method while it works. Just check that it is still the best one."
"sun","6","gemini","Правите две неща наведнъж и се справяте. Едното еднообразно занимание ви приспива. Дръжте задачите различни.","You do two things at once and manage. One repetitive job puts you to sleep. Keep the tasks varied."
"sun","6","cancer","Работата ви трябва да е близо до хора, за които се грижите. Иначе се изтощавате бързо. Изберете мястото по това.","Your work has to be near people you look after. Otherwise you drain fast. Choose the place by that."
"sun","6","leo","Работите по-добре, когато има кой да види. Празната стая ви забавя. Кажете какво сте свършил.","You work better when somebody can see. An empty room slows you. Say what you finished."
"sun","6","virgo","Оправяте това, което другите оставят наполовина. Виждате грешката веднага. Само не поправяйте всичко.","You put right what others leave half done. You see the mistake at once. Just do not fix everything."
"sun","6","libra","Работите добре, когато отношенията са спокойни. Лош тон ви спира за целия ден. Кажете го рано.","You work well when relations are calm. A bad tone stops you for the whole day. Say so early."
"sun","6","scorpio","Влизате в работата, която никой не иска, и я довеждате докрай. Тежкото не ви плаши. Взимайте за него.","You go into the job nobody wants and see it through. The heavy part does not frighten you. Charge for it."
"sun","6","sagittarius","Работата ви иска простор и движение. Едно бюро ви е тясно. Търсете задача с път.","Your work wants space and movement. One desk is tight for you. Look for a job with a road in it."
"sun","6","capricorn","Носите товара и не се оплаквате, и точно затова ви товарят още. Издържате дълго. Кажете спирачката веднъж.","You carry the load without complaining, and that is exactly why more is added. You last a long time. Say the word stop once."
"sun","6","aquarius","Правите работата иначе и излиза по-бързо. Правилата ви дразнят, когато са без причина. Обяснявайте новия начин.","You do the job differently and it comes out faster. Rules irritate you when they have no reason. Explain the new way."
"sun","6","pisces","Работата ви трябва смисъл, иначе тялото отказва. Празната задача ви разболява. Изберете смисъл, не заплата.","Your work needs meaning, otherwise your body refuses. An empty task makes you unwell. Choose meaning rather than salary."
"sun","7","aries","Избирате бързо и после свиквате с избора. Не издържате дълго обмисляне на двама. Дайте на другия време да догони.","You choose fast and then get used to the choice. Long deliberation between two people is more than you can bear. Give the other time to catch up."
"sun","7","taurus","Обвързвате се за дълго и не мислите за изход. Веднъж избран, човекът е ваш човек. Само проверявайте дали още ви е добре.","You bond for the long term and give no thought to an exit. Once chosen, the person is your person. Just check that it is still good for you."
"sun","7","gemini","Трябва ви човек, с когото има за какво да се говори. Мълчаливата вечеря ви изнервя. Кажете го направо.","You need somebody there is something to talk about with. A silent dinner puts you on edge. Say so directly."
"sun","7","cancer","Искате човек, с когото да си направите дом. Близостта за вас е ежедневие, не събитие. Кажете какво значи това.","You want somebody to make a home with. Closeness for you is everyday life rather than an event. Say what that means."
"sun","7","leo","Искате да сте горд с човека до вас и той с вас. Дребното ви разваля повече от голямото. Хвалете го на глас.","You want to be proud of the person beside you, and them of you. Small things spoil it for you more than large ones. Praise them out loud."
"sun","7","virgo","Забелязвате какво може да се оправи в другия и го казвате. Правите го от грижа и не звучи така. Кажете какво харесвате първо.","You notice what could be improved in the other and you say it. You do it out of care and it does not sound that way. Say what you like first."
"sun","7","libra","Тук всичко е на място: двама сте по-цял, отколкото сам. Съобразявате се и очаквате същото. Само кажете какво искате вие.","Here everything sits in place: two makes you more whole than one. You accommodate and expect the same. Just say what you want."
"sun","7","scorpio","Обвързвате се дълбоко или никак. Проверявате човека дълго, преди да го пуснете. Само не проверявайте безкрайно.","You bond deeply or not at all. You test somebody for a long time before letting them in. Just do not test forever."
"sun","7","sagittarius","Трябва ви човек, с когото да гледате нанякъде. Затвореният живот ви убива. Кажете това още в началото.","You need somebody to look somewhere with. A closed-in life kills you. Say that at the beginning."
"sun","7","capricorn","Обвързвате се сериозно и по-скоро късно, отколкото рано. Думата ви е договор. Кажете и мекото понякога.","You bond seriously and later rather than early. Your word is a contract. Say the soft thing sometimes."
"sun","7","aquarius","Искате човек, който ви оставя свободен, и вие правите същото. Задушаването ви прогонва веднага. Кажете границите ясно.","You want somebody who leaves you free, and you do the same. Being crowded drives you off at once. State the limits clearly."
"sun","7","pisces","Влизате в човека до вас и после не знаете кое е ваше. Границата се размива бързо. Пазете едно свое занимание.","You go into the person beside you and afterwards do not know which part is yours. The edge blurs fast. Keep one pursuit of your own."
"sun","8","aries","Влизате в тежкото първи и без да мислите. Кризата ви събужда. Само не влизайте всеки път.","You go into the hard thing first and without thinking. A crisis wakes you. Just do not go in every time."
"sun","8","taurus","Пазите чуждото по-добре от собственика. Доверяват ви пари и вещи. Дръжте всичко на хартия.","You guard what belongs to others better than the owner does. Money and belongings get entrusted to you. Keep everything on paper."
"sun","8","gemini","Разбирате как работят дългове, дялове и застраховки. Питате, докато не се изясни. Обяснете го и на близките.","You understand how debts, shares and insurance work. You ask until it is clear. Explain it to the people close to you as well."
"sun","8","cancer","Усещате края, преди да е дошъл, и се стягате. Загубата остава у вас дълго. Кажете я на глас на един човек.","You sense the ending before it comes and brace. A loss stays with you a long time. Say it out loud to one person."
"sun","8","leo","Минали сте през нещо, което ви е сменило, и не го криете. Хората ви питат за това. Разказвайте, когато вие решите.","You went through something that changed you, and you do not hide it. People ask you about it. Tell it when you decide to."
"sun","8","virgo","Оправяте чужди сметки и книжа, защото никой друг не сяда. Работата ви е тиха и точна. Взимайте за нея.","You settle other people's accounts and papers because nobody else sits down to it. Your work is quiet and precise. Charge for it."
"sun","8","libra","Общото имущество се решава на маса, с двама. Спорът за пари е спор за доверие. Пишете си всичко.","Shared property gets settled at a table, by two. An argument about money is an argument about trust. Put everything in writing."
"sun","8","scorpio","Тук всичко е на място: дълбокото и приключването са вашето. Издържате там, където другите се пречупват. Само не влизайте сам.","Here everything sits in place: the deep and the finishing belong to you. You last where others break. Just do not go in alone."
"sun","8","sagittarius","След загуба ви се отваря нещо по-широко. Виждали сте го достатъчно пъти. Не наричайте това план.","After a loss something wider opens for you. You have seen it happen enough times. Do not call that a plan."
"sun","8","capricorn","Носите тежкото по график и никой не пита как. Изплащате всичко до последното. Дайте си срок за края.","You carry the heavy thing on a schedule and nobody asks how. You settle everything to the last. Give yourself a date for the end."
"sun","8","aquarius","Гледате на края без страх и това стряска хората. За вас това е механика, не мистика. Обяснявайте го спокойно.","You look at endings without fear, and that startles people. To you it is mechanics rather than mystery. Explain it calmly."
"sun","8","pisces","Усещате чуждата болка, преди да е казана, и я поемате. Границата липсва. Оставяйте я на прага.","You feel other people's pain before it is spoken and take it on. The boundary is missing. Leave it at the door."
"sun","9","aries","Тръгвате, преди да сте проверил разписанието. Ученето ви е през правене. Само вземайте обратен билет.","You set off before checking the timetable. You learn by doing. Just buy a return ticket."
"sun","9","taurus","Убежденията ви не се менят лесно и това ви държи. Учите бавно и трайно. Оставяйте място за нещо ново.","Your convictions do not shift easily, and that holds you. You learn slowly and lastingly. Leave room for something new."
"sun","9","gemini","Знаете по малко от много неща и това ви върши работа. Едно поле ви е тясно. Задълбочете едно от тях.","You know a little of many things and it serves you. One field is narrow for you. Go deep in one of them."
"sun","9","cancer","Учите чрез хора и истории, не от учебник. Далечното ви привлича и ви домъчнява. Носете нещо от дома със себе си.","You learn through people and stories rather than textbooks. The far-away draws you and makes you homesick. Take something from home with you."
"sun","9","leo","Убеден сте и се вижда, и това увлича хора. Точно затова проверявайте фактите. Признавайте, когато сте сгрешил.","You are convinced and it shows, and that carries people. That is exactly why you should check the facts. Admit it when you are wrong."
"sun","9","virgo","Проверявате източника, преди да повярвате. Голямото твърдение ви дразни. Само не спирайте да учите от съмнение.","You check the source before believing. A grand claim irritates you. Just do not let doubt stop you learning."
"sun","9","libra","Стигате до истината през разговор с още един. Сам мислите на кръг. Търсете събеседник, не публика.","You reach the truth through conversation with one other. Alone you think in circles. Look for an interlocutor rather than an audience."
"sun","9","scorpio","Вярвате в малко неща и докрай, и сте стигнал до тях трудно. Не спорите за тях. Кажете ги, когато питат.","You believe in few things and completely, and you reached them the hard way. You do not argue about them. Say them when asked."
"sun","9","sagittarius","Тук всичко е на място: широкото и далечното са вашето. Учите, обяснявате, пътувате. Само не обещавайте повече, отколкото ще стигне.","Here everything sits in place: the wide and the far belong to you. You study, you explain, you travel. Just do not promise more than will stretch."
"sun","9","capricorn","Учили сте се сам и по трудния път. Дипломата дойде след опита. Кажете го на един по-млад.","You learned alone and the hard way. The certificate came after the experience. Say that to somebody younger."
"sun","9","aquarius","Мислите различно от всички наоколо и не се предавате. Изпреварвате мнозина. Обяснявайте по-търпеливо.","You think differently from everybody around and you do not give in. You are ahead of many. Explain more patiently."
"sun","9","pisces","Вярата ви е усещане, не система. Не можете да я докажете и не ви трябва. Пазете я.","Your faith is a feeling rather than a system. You cannot prove it and you do not need to. Keep it."
"sun","10","aries","Пробивате отпред и хората ви следват. Не чакате ред. Само гледайте да има какво да покажете.","You push through at the front and people follow. You do not wait your turn. Just make sure there is something to show."
"sun","10","taurus","Издигате се бавно и мястото остава ваше. Не сменяте посоката. Само не чакайте да ви открият.","You rise slowly and the position stays yours. You do not change direction. Just do not wait to be discovered."
"sun","10","gemini","Правите две неща и се разпознавате по едно от тях. Хората не знаят кое е основното. Изберете лицето.","You do two things and are known for one of them. People do not know which is the main one. Choose the face."
"sun","10","cancer","Работата ви е свързана с грижа за хора и това се вижда. Помнят ви по отношението. Не се извинявайте, че е така.","Your work involves looking after people and it shows. You are remembered for how you treat them. Do not apologise for that."
"sun","10","leo","Тук всичко е на място: името и мястото са вашето. Виждат ви и това ви подхранва. Само не работете само за поглед.","Here everything sits in place: the name and the position belong to you. You are seen and it feeds you. Just do not work only for the looking."
"sun","10","virgo","Признават ви по свършеното, не по приказките. Работите точно и това е репутацията ви. Кажете и какво сте направил.","You are recognised for what is finished rather than what is said. You work precisely and that is your reputation. Say what you did as well."
"sun","10","libra","Мястото ви идва през хора и през договор. Умеете да се разбирате. Пишете условията, преди да е започнало.","Your position comes through people and through terms. You know how to come to an agreement. Put the terms in writing before it starts."
"sun","10","scorpio","Мястото ви е там, където се решава нещо тежко. Хората ви дават власт, без да питат. Проверете сам себе си.","Your position is where something heavy gets decided. People hand you authority without asking. Test yourself."
"sun","10","sagittarius","Името ви расте навън по-бързо, отколкото тук. Далечното ви признава по-лесно. Гледайте натам.","Your name grows away faster than here. The far-away recognises you more easily. Look that way."
"sun","10","capricorn","Стигате нагоре по стъпки и без прескачане. Отговорността ви е дадена рано. Носете я, но не сам.","You go up in steps and skip none. Responsibility was assigned to you early. Carry it, but not alone."
"sun","10","aquarius","Мястото ви е там, където правят нещо ново. В стария ред се задушавате. Търсете точно това.","Your position is where something new is being made. In the old order you suffocate. Look for exactly that."
"sun","10","pisces","Работата ви е свързана с грижа, изкуство или вяра. Числата не ви движат. Кажете си цената все пак.","Your work involves care, art or faith. Numbers do not move you. Say your price all the same."
"sun","11","aries","Влизате в група и тя тръгва. Не чакате да ви поканят. Само оставяйте и на другите ход.","You come into a group and it starts moving. You do not wait to be invited. Just leave the others a move too."
"sun","11","taurus","Приятелите ви са малцина и от двайсет години. Нови се допускат бавно. Оставете вратата отворена.","Your friends are few and twenty years old. New ones are admitted slowly. Leave the door open."
"sun","11","gemini","Познавате всички и всеки ви познава от различно място. Кръгът ви е широк и плосък. Задълбочете две приятелства.","You know everybody, and everybody knows you from somewhere different. Your circle is wide and flat. Deepen two friendships."
"sun","11","cancer","Приятелите ви са като семейство и границата липсва. Грижите се за тях като за свои. Кажете, когато сте свършил.","Your friends are like family and the boundary is missing. You look after them as your own. Say when you are spent."
"sun","11","leo","В компанията вие сте центърът и това ви е естествено. Хората чакат вашия тон. Питайте и другите какво искат.","In company you are the centre and it comes naturally. People wait for your tone. Ask the others what they want too."
"sun","11","virgo","Помагате практично и после нямате сила за себе си. В групата вършите работата. Оставете една задача на друг.","You help practically and then have no strength for yourself. In the group you do the work. Leave one task to somebody else."
"sun","11","libra","Свързвате хора и оттам идват вашите възможности. Правите го без сметка. Поискайте нещо и вие.","You connect people, and your own opportunities come from there. You do it without an accounting. Ask for something too."
"sun","11","scorpio","В кръга влизате дълбоко или стоите отстрани. Повърхностното приятелство ви е загуба на време. Изберете трима.","In a circle you go deep or you stand aside. A shallow friendship is a waste of your time. Choose three."
"sun","11","sagittarius","Приятелите ви са пръснати по други държави и точно това ви държи буден. Тук малцина ви разбират. Обадете се на един от далечните.","Your friends are spread across other countries, and that is exactly what keeps you awake. Here few understand you. Call one of the distant ones."
"sun","11","capricorn","В група вие сте човекът, на когото разчитат. Ролята е дадена отдавна. Кажете, когато не я поемате.","In a group you are the one relied on. The role was assigned long ago. Say when you are not taking it."
"sun","11","aquarius","Тук всичко е на място: групата и общото са вашето. Между свои по дух сте най-себе си. Само пазете и своя посока.","Here everything sits in place: the group and the shared thing belong to you. Among people of your own spirit you are most yourself. Just keep a direction of your own."
