"changed","source","key","bg","en"
"0","chain","jupiter|1|moon|5","Вдигате настроението на всяка стая и ви е приятно да сте този човек. Деца, влюбване, игра — там се пълните и там най-лесно прекалявате. Дайте си воля, но не всеки път, защото после ви е празно.","You lift the mood of any room and you enjoy being that person. Children, falling in love, play — that is where you fill up and where you go over the line most easily. Let yourself go, but not every time, or the afterwards is hollow."
"0","chain","jupiter|1|moon|6","Приемат ви добре и вие им връщате с работа — вършите за двама и не броите. Тялото обаче помни всичко: тежестта, безсънието, изядената тревога. Дребният ред всеки ден ви държи по-добре от всяко голямо решение.","People take to you and you pay them back in work — you do the job of two and you do not count. The body remembers all of it, though: the weight, the poor sleep, the worry that gets eaten. A small order kept daily holds you better than any big decision."
"0","chain","jupiter|1|moon|7","Отваряте се лесно и другият човек го усеща веднага. Настроението ви обаче се мери по партньора: добре ли е между вас, целият свят ви е широк. Не давайте всичко наведнъж — оставете нещо и за след месец.","You open up easily and the other person feels it at once. Your mood is measured by your partner, though: if things are good between you, the whole world is wide. Do not give everything at the start — leave something for a month from now."
"0","chain","jupiter|1|moon|8","Отвън сте топъл и щедър, а вътре носите страхове, за които не говорите. Общите пари, дълговете и това, което идва след загуба, ви разклащат повече от всичко. Кажете ги на един човек и половината тежест пада.","Warm and generous on the outside, you carry fears you do not talk about. Shared money, debts, whatever comes after a loss — those shake you more than anything. Say them out loud to one person and half the weight goes."
"0","chain","jupiter|1|moon|9","Вярвате бързо и заразявате другите с това. Чужди места, книги, човек, който ви е учил — оттам ви идва и спокойствието, и апетитът. Стойте ли дълго на едно място без нищо ново, ставате тежък и мърморещ.","You believe quickly and you carry other people along with it. Foreign places, books, someone who taught you — that is where both your calm and your appetite come from. Sit too long in one spot with nothing new and you turn heavy and grumbling."
"0","chain","jupiter|1|moon|10","Личите се отдалеч и хората ви дават доверие предварително. Пред света обаче се държи по-строго, отколкото ви е удобно, а настроението ви се вижда и там. Свикнете ли да разделяте своето от служебното, тръгва нагоре бързо.","You are visible from a distance and people trust you in advance. In public the bar is stricter than is comfortable for you, and your mood shows there too. Learn to keep your own weather separate from the job and it moves up fast."
"0","chain","jupiter|1|moon|11","В компания се разтваряте и ставате най-добрата версия на себе си. Приятели и познати ви носят повече, отколкото всяка ваша борба — един разговор и работата е свършена. Само не обещавайте на всички в кръга едно и също.","In company you open right up and become the best version of yourself. Friends and acquaintances carry you further than any struggle of your own — one conversation and the thing is done. Just do not promise the same thing to everyone in the circle."
"0","chain","jupiter|1|moon|12","Навън сте широк и приветлив, а най-нужното ви е тишината. Помагате на хора, за които после не разказвате, и точно там ви е доброто. Не си позволите ли да се скриете от време на време, започвате да ядете тревогата си.","Out in the world you are open and welcoming, and what you most need is quiet. You help people you never mention afterwards, and that is where your good work lies. If you do not let yourself disappear now and then, you start eating your worry."
"0","chain","jupiter|1|mercury|1","Говорите свободно и хората ви вярват още от третото изречение. Обещавате в движение, защото умът ви вече е видял как ще стане — само че ръцете после трябва да догонват. Тук няма на кого да разчитате: вие сте и приказката, и изпълнението.","You talk freely and people believe you by the third sentence. You promise on the move, because your mind has already seen how it will work — the hands then have to catch up. There is nobody to lean on here: you are the pitch and the delivery both."
"0","chain","jupiter|1|mercury|2","Изкарвате с приказка и с бърза сделка и рядко оставате без вариант. Само че същият език ви вкарва в разходи, обещани на едро. Записвайте какво сте казали за пари — паметта ви е избирателна точно там.","You earn by talking and by a quick deal, and you are rarely without an option. The same tongue puts you into costs you agreed to in the round, though. Write down what you said about money — your memory is selective in exactly that spot."
"0","chain","jupiter|1|mercury|3","Първо говорите, после мислите колко сте обещали. Брат, съсед, колега — там се въртят и работите ви, и грешките ви, всичко наблизо. Един кратък и точен разговор ви върши повече от три дълги.","You speak first and count what you promised afterwards. A brother, a neighbour, a colleague — your business and your mistakes both circle there, all of it close to hand. One short exact conversation does more for you than three long ones."
"0","chain","jupiter|1|mercury|4","Отвън сте открит и лесен, а всичко се решава около масата вкъщи. Разговорите със своите, документите за жилището, старите книжа — там ви е работата. Наредите ли това, навън говорите с друга тежест.","Open and easy on the outside, you have everything settled around the table at home. Talks with your own people, the paperwork on a place to live, the old files — that is where the work is. Put that in order and you speak with a different weight outside."
"0","chain","jupiter|1|mercury|5","Разсмивате хората и това ви отваря повече врати от всяка квалификация. Флиртът, играта, децата, писането — там умът ви работи най-добре и там прекалявате най-лесно. Довършвайте започнатото: започването ви е дадено даром.","You make people laugh and that opens more doors than any qualification. Flirting, play, children, writing — that is where your mind is at its best and where you overrun most easily. Finish what you start: the starting was handed to you free."
"0","chain","jupiter|1|mercury|6","Голямото ви държане стои върху дребна и точна работа. Списъци, часове, детайли, чужди задачи — оттам ви идва и хлябът, и умората. Обещавайте по-малко на колегите и ще свършите повече.","The big manner of yours rests on small exact work. Lists, hours, details, other people's tasks — that is where the bread comes from and the tiredness too. Promise your colleagues less and you will get more done."
"0","chain","jupiter|1|mercury|7","Печелите с думи, но истинската сделка се прави с човека срещу вас. Договор, съдружник, брак — всичко минава през подпис и през това какво точно е било казано. Четете дребния шрифт, колкото и да ви се пропуска.","You win with words, but the actual deal is made with the person across the table. A contract, an associate, a marriage — it all goes through a signature and through what exactly was said. Read the small print, however much you want to skip it."
"0","chain","jupiter|1|mercury|8","Отвън сте лек и разговорлив, а истинските ви сметки са скрити. Чужди пари, дългове, дялове и обещания, които някой пази записани — там се решава. Не подписвайте нищо в добро настроение.","Light and talkative on the surface, your real accounts are out of sight. Other people's money, debts, shares, promises somebody has written down — that is where it is decided. Never sign anything while you are feeling good."
"0","chain","jupiter|1|mercury|9","Разказвате така, че хората тръгват след вас, и сам вярвате на разказа. Учение, чужд език, пътуване, преподаване — там мисълта ви намира големината си. Внимавайте да не превърнете едно прочетено в цяла истина.","You tell it in a way that makes people follow, and you believe the telling yourself. Study, another language, travel, teaching — that is where your mind finds its size. Be careful not to turn one thing you read into a whole truth."
"0","chain","jupiter|1|mercury|10","Дават ви аванс на доверие и вие говорите така, че той расте. Пред началници и пред публика езикът ви е капиталът — там се решава колко ще ви поверят. Едно преувеличение пред грешния човек се помни по-дълго от десет добри думи.","People advance you trust and you talk in a way that grows it. In front of bosses and in front of an audience your tongue is the capital — that is where it is decided how much they hand you. One exaggeration in front of the wrong person outlives ten good sentences."
"0","chain","jupiter|1|mercury|11","В компания сте лесен и щедър на идеи и точно там ви идва късметът. Приятел прати съобщение, познат каже дума — и се отваря нещо, за което не сте молили. Дръжте връзките живи с малки обаждания, не с големи обещания.","In company you are easy and generous with ideas, and that is exactly where the luck arrives. A friend sends a message, an acquaintance says a word, and something opens that you never asked for. Keep those lines alive with small calls, not big promises."
"0","chain","jupiter|1|mercury|12","Приказвате много, а най-важното си го мислите насаме. Работи ви се най-добре, когато никой не гледа и телефонът мълчи. Пишете си нещата — което не излиза през устата, излиза през ръката.","You talk a great deal and think the important part alone. You work best when nobody is watching and the phone stays quiet. Write things down — what will not come out through the mouth comes out through the hand."
"0","chain","jupiter|1|venus|1","Харесват ви още преди да сте отворили уста и вие се възползвате, без да се замисляте. Обичате хубавото, широкото и лесното, и обикновено ги получавате. Само че тук няма кой да ви каже стоп — мярката трябва да си я сложите сам.","People like you before you have opened your mouth, and you use it without thinking twice. You want things beautiful, wide and easy, and mostly you get them. But there is nobody here to call time — the measure has to be one you set yourself."
"0","chain","jupiter|1|venus|2","Идват ви пари по-лесно, отколкото на другите, и точно затова не ги пазите. Купувате хубаво, черпите широко и после се учудвате къде отиде всичко. Оставяйте по малко настрани в добрите месеци — те не траят вечно.","Money comes to you more easily than to others, which is exactly why you do not hold on to it. You buy well, you treat generously, and then you wonder where it all went. Put a little aside in the good months — they do not last forever."
"0","chain","jupiter|1|venus|3","Приятно ви е да говорите и хората ви слушат с удоволствие. Близките наоколо ви носят и топлината, и разходите — съгласявате се, а после мислите. Кратката добра дума ви върши повече от дълго обещание.","You enjoy talking and people enjoy listening to you. Those nearby bring you both the warmth and the expense — you agree first and think second. A short kind sentence does more for you than a long promise."
"0","chain","jupiter|1|venus|4","Отвън сте щедър, а всичко хубаво тръгва от дома ви. Обичате къщата пълна, масата отрупана и хората доволни, и харчите точно там. Направете си място, което ви е по мярка, и апетитът ви се успокоява.","Generous outside, everything good starts from your home. You want the house full, the table loaded and everyone pleased, and that is exactly where the money goes. Make yourself a place that fits you and the appetite settles."
"0","chain","jupiter|1|venus|5","Влюбвате се широко и не го криете от никого. Деца, изкуство, вечери, които се проточват — там ви е и радостта, и излишъкът. Прощава ви се много, но не разчитайте на това вечно.","You fall in love on a large scale and you hide it from nobody. Children, art, evenings that run long — that is where the joy is and where the surplus goes. A lot gets forgiven you, but do not count on it forever."
"0","chain","jupiter|1|venus|6","Хубавото ви държане се плаща с всекидневна работа и това не ви тежи. Работите с приятни хора или не работите добре — толкова е просто при вас. Тялото обича вкусното повече, отколкото му е полезно, и си го събира.","Your easy manner is paid for with daily work, and you do not resent that. You work with pleasant people or you do not work well — it is that simple with you. The body likes good food more than is good for it, and it keeps the score."
"0","chain","jupiter|1|venus|7","Вярват ви предварително, а най-хубавото ви идва през един човек. Партньор или съдружник ви отваря живота повече, отколкото собствената ви борба. Изберете добре: тук чуждият вкус става ваш.","People trust you in advance, and the best of it reaches you through one person. A partner or an associate opens your life wider than your own effort does. Choose well: somebody else's taste becomes yours here."
"0","chain","jupiter|1|venus|8","Отвън сте лек човек, а парите и удоволствията ви минават през чужда ръка. Наследство, дял, подкрепа от близък — оттам идва повече, отколкото сам бихте изкарали. Гледайте да не свикнете, защото се спира без предупреждение.","You look like an easy person, and your money and your pleasures come through somebody else's hand. An inheritance, a share, support from someone close — more arrives that way than you would earn alone. Try not to get used to it, because it stops without warning."
"0","chain","jupiter|1|venus|9","Обичате далечното и хубавото и вярвате, че светът е щедро място. Чужбина, красиви места, учение заради самото удоволствие — там ви се отваря. Един такъв път променя повече от десет добри разговора вкъщи.","You love the distant and the beautiful and you believe the world is a generous place. Abroad, handsome places, learning for the pleasure of it — that is where things open. One such journey changes more than ten good conversations at home."
"0","chain","jupiter|1|venus|10","Не остава между свои това, с което харесвате хората — работи там, където ви гледат. Издигате се, защото ви харесват, и това е истина, която някои няма да ви простят. Дръжте качеството високо и приказките зад гърба ви отпадат сами.","What makes people take to you does not stay among friends; it works where you are being watched. You rise because people like you, and that is a truth some will not forgive you. Keep the quality high and the talk behind your back falls away by itself."
"0","chain","jupiter|1|venus|11","Между хора ви е най-добре и там ви върви най-леко. Един приятел ви урежда за час нещо, за което сам бихте чакали година. Не превръщайте всяко познанство в услуга — кръгът се изхабява.","You are at your best among people and that is where it runs easiest. One friend arranges in an hour what you would have waited a year for. Do not turn every acquaintance into a favour — a circle wears out."
"0","chain","jupiter|1|venus|12","Навън сте топъл и открит, а най-нежното ви стои скрито. Има връзка, страст или удоволствие, за което не говорите, и то ви е важното. Дръжте го чисто — тайното хубаво лесно става тайна тежест.","Warm and open in the world, the tenderest part of you stays hidden. There is an attachment, a passion or a pleasure you never mention, and that is the one that matters. Keep it clean — a private good thing turns into a private weight very easily."
"0","chain","jupiter|1|mars|1","Влизате широко и бързо и хората ви правят място, преди да са решили дали искат. Смелостта и апетитът вървят заедно у вас: обещавате, хващате се, после блъскате да догоните. Никой не ви спира — затова се научете да спирате сам.","You come in wide and fast and people make room before they have decided whether they want to. Nerve and appetite move together in you: you promise, you take it on, then you shove hard to catch up. Nobody stops you, so learn to stop yourself."
"0","chain","jupiter|1|mars|2","Изкарвате с бой и харчите със замах — двете вървят в комплект. Парите ви идват, когато тръгнете рязко, и си отиват, когато сте в настроение. Кажете си цената право в очите и не се пазарете надолу.","You earn by fighting and you spend with a flourish — the two come as a set. Money arrives when you move sharply and leaves when you are in a good mood. Name your price to their face and do not bargain yourself down."
"0","chain","jupiter|1|mars|3","Говорите на едро и бързо, а понякога и по-остро, отколкото искате. С брат, съсед или колега лесно пламва и също толкова лесно минава. Едно премълчано изречение ви спестява седмица разправии.","You talk big and fast, and sometimes sharper than you meant to. With a brother, a neighbour or a colleague it catches fire easily and dies down just as easily. One sentence swallowed saves you a week of argument."
"0","chain","jupiter|1|mars|4","Отвън сте широк и добродушен, а под своя покрив кипи. Там се борите за мястото си, там ремонтирате, там се карате и се сдобрявате. Спечелите ли мир вкъщи, апетитът ви навън се превръща в резултат.","Wide and good-natured outside, under your own roof it boils. That is where you fight for your place, where you rebuild, where you row and make it up. Win the peace at home and the appetite outside turns into results."
"0","chain","jupiter|1|mars|5","Гоните това, което ви харесва, и не се преструвате на сдържан. Любов, спорт, залог, деца — там сте най-жив и там най-лесно прекалявате. Голямото залагане ви върви, докато не стане навик.","You chase what you want and you do not pretend to be restrained. Love, sport, a wager, children — that is where you are most alive and where you overdo it soonest. Betting big works for you right up until it becomes a habit."
"0","chain","jupiter|1|mars|6","Вземат ви за късметлия, а зад това стои много блъскане. Вършите бързо и много, дразните се от бавните и не си давате почивка. Тялото ви е силно, но не безкрайно — то представя сметката наведнъж.","People take you for lucky, and behind it there is a great deal of grinding. You work fast and heavy, slow people irritate you, and you give yourself no rest. Your body is strong but not endless — it presents the whole bill at once."
"0","chain","jupiter|1|mars|7","Доверяват ви се бързо, а най-острото ви идва от човека срещу вас. Партньор или противник вади и най-доброто, и най-грубото у вас. Не влизайте в спор, който не ви носи нищо освен правота.","People trust you quickly, and the sharpest of it comes from the person opposite. A partner or an opponent draws out both your best and your crudest. Do not enter a fight whose only prize is being right."
"0","chain","jupiter|1|mars|8","Отвън сте едър и уверен, а истинската борба е за чуждото. Дългове, дялове, пари, които не са само ваши — там се печели и там се губи на едро. Влизайте бавно там, където обикновено влизате на един дъх.","Large and confident on the surface, the real fight is over what belongs to others. Debts, shares, money that is not only yours — that is where you win and lose wholesale. Go in slowly where you normally go in on one breath."
"0","chain","jupiter|1|mars|9","Вярвате силно и защитавате вярата си, дори когато никой не я напада. Далечни места, спорове за принципи, учител, с когото сте се сблъскали — оттам ви расте главата. Пътувайте: движението ви върши повече от всеки спор.","You believe hard and you defend the belief even when nobody is attacking it. Distant places, arguments over principle, a teacher you clashed with — that is what grows you. Travel: moving does more for you than any argument."
"0","chain","jupiter|1|mars|10","Вярват ви предварително и вие тръгвате нагоре по-бързо от повечето. Пред света обаче се борите за мястото си и там имате и врагове. Един прибързан ход пред тези очи струва години.","You are believed in advance and you climb faster than most. In public, though, you fight for your place, and you have enemies there. One rash move in front of those eyes costs years."
"0","chain","jupiter|1|mars|11","В компания сте водачът, дори когато не сте искали да бъдете. Приятелите ви носят напред, но и споровете ви са с тях — тежко е, когато се скарате. Дръжте кръга широк: една врата се затваря, друга се отваря.","In company you end up leading even when you did not intend to. Friends carry you forward, and your quarrels are with them too, which hurts when it happens. Keep the circle wide: one door shuts and another opens."
"0","chain","jupiter|1|mars|12","Отвън сте добродушен, а най-тежките си битки водите сам. Има гняв, който не показвате, и той излиза наведнъж, когато преварите. Дайте му излаз в движение или в работа, преди да е излязъл през здравето ви.","Good-natured to look at, you fight your hardest battles alone. There is an anger you do not show, and it comes out all at once when it boils over. Give it a way out through movement or work, before it comes out through your health."
"0","chain","jupiter|1|saturn|1","Изглеждате широк и уверен, но вътре има спирачка, която не изпускате. Вярват ви и вие поемате, а после сам си държите сметка за всяка дума. Растете бавно и това е за добро — каквото сте взели, остава.","You look wide and confident, and inside there is a brake you never let go of. People trust you, you take things on, and then you hold yourself to account word by word. You grow slowly, and that is the good news — what you take stays taken."
"0","chain","jupiter|1|saturn|2","Обещавате лесно, а после броите. Парите ви идват бавно и остават дълго — не сте от тези, които губят всичко наведнъж. Не давайте назаем повече, отколкото бихте могли да отпишете.","You promise easily and count afterwards. Money reaches you slowly and stays a long time — you are not the sort who loses it all at once. Do not lend more than you could write off."
"0","chain","jupiter|1|saturn|3","Говорите широко, но всяка дума я мерите два пъти преди края. С някой близък наоколо е било хладно и оттам ви е останало да не обещавате на едро. Каквото кажете сериозно, го помнят години.","You speak broadly and weigh every word twice before the end. Someone close by was cold with you once, and that is why you no longer promise in the round. What you say seriously is remembered for years."
"0","chain","jupiter|1|saturn|4","Отвън сте едър и щедър, а вкъщи е било сериозно и рано сте пораснали. Носите къщата и своите като задължение и рядко се оплаквате. Стъпите ли веднъж на свое място, растете бързо и без страх.","Broad and generous outside, at home it was serious and you grew up early. You carry the house and your own people as a duty and you seldom complain. Once you stand on ground that is yours, you grow fast and without fear."
"0","chain","jupiter|1|saturn|5","Виждат ви щедър и весел, а да се пуснете наистина ви струва усилие. Любовта и играта ги вземате насериозно, което ги прави и по-редки, и по-трайни. Децата или едно голямо начинание ви идват късно и точно навреме.","People see you as generous and cheerful, and actually letting go costs you an effort. You take love and play seriously, which makes them both rarer and longer-lasting. Children, or one large undertaking, arrive late and exactly on time."
"0","chain","jupiter|1|saturn|6","Големината ви стои върху работа, която никой не вижда. Вършите докрай и не бягате, дори когато ви е дошло много. Тялото ви е издръжливо, но плаща за широкия апетит — дръжте мярка на масата.","Your size rests on work nobody sees. You finish things and you do not run, even when it has become too much. Your body is durable but it pays for the wide appetite — keep some measure at the table."
"0","chain","jupiter|1|saturn|7","Приемат ви открито, а най-важният човек ви идва бавно и остава дълго. Партньор или съдружник ви слага рамка, която сам не бихте си сложили. Обвързвате се късно и точно затова ви държи.","People take to you openly, and the person who matters most comes slowly and stays a long time. A partner or an associate gives you a frame you would never have built for yourself. You commit late, and that is exactly why it holds."
"0","chain","jupiter|1|saturn|8","Изглеждате късметлия, а сте се научили да живеете с тежести, за които не разказвате. Дългове, загуби и чужди пари ви подреждат живота повече, отколкото ви е приятно. Изплатите ли старото докрай, започвате отначало и този път на чисто.","You look like a lucky person, and you have learned to live with weights you never mention. Debts, losses and other people's money shape your life more than you would like. Clear the old thing to the last note and you start again, this time clean."
"0","chain","jupiter|1|saturn|9","Вярата ви е широка, но не я приемате наготово — питате и проверявате. Учението ви върви бавно и сериозно, а каквото сте взели, не се губи. Един учител или един дълъг път ви е обърнал живота и вие го знаете.","Your faith is wide but you do not take it ready-made — you ask and you check. Your learning goes slowly and seriously, and what you take in does not leak away. One teacher or one long road turned your life around and you know it."
"0","chain","jupiter|1|saturn|10","Дават ви доверие рано, а истинското име се гради дълго и пред очите на всички. Началници и хора с тежест ви товарят, защото виждат, че носите. Не искайте наградата преди срока — тук нищо не се дава по-рано.","You are trusted early, and the real name gets built slowly and in full view. Bosses and people with weight load you up because they can see you carry. Do not ask for the reward before the term is up — nothing here is handed over early."
